Elapsed Time,Distance,Moving Time,Distance,Max Speed,Elevation Gain,Elevation Low,Elevation High,Max Grade,Average Grade
4895,11.54,4866,11547.2002,7.099999905,286.1870117,132.8000031,299.3999939,47.70000076,-0.00866011
2768,8.62,2731,8621.299805,4.800000191,0,125.8000031,133.1000061,10.89999962,0
17910,13.8,17666,13807,9.5,1396.030029,1657,3076,49.59999847,-0.249872997
16366,8.87,16171,8870.200195,9.100000381,668.6209717,1601.199951,2078.5,49.29999924,-0.707988977
3607,8.42,3552,8423.400391,5.699999809,352.7709961,160.3000031,377.2000122,36.40000153,-0.00831018
3098,9.9,3087,9901.700195,5.300000191,0,125.8000031,134.3000031,12.39999962,0.00302978
2864,7.86,2844,7868.799805,10.39999962,166.9459991,132.8999939,236.1999969,46.5,0.00762505
0,11.13,19656,11137.59961,6.400000095,2192.610107,2121.199951,4202.799805,50,18.62520027
4344,10,4164,10001.2998,5.599999905,454.3930054,161.1999969,621.2000122,49.70000076,-0.00899883
4404,11.35,4220,11357.59961,5.800000191,280.1296997,133,279.5,34.79999924,0
57290,26.29,54559,26291.90039,15.89999962,2474.409912,997.5,3282,50,-0.036132801
13046,12.88,12082,12885.7998,10.30000019,1199.969971,555.7999878,1736.900024,50,-0.027161701
4220,9.96,4091,9966.900391,9.199999809,470.0859985,161,621.7999878,48.70000076,0.00100332
3734,9.08,3689,9085.900391,6.800000191,359.8009949,160.1999969,377.2000122,48.20000076,0.0110061
17877,42.75,16224,42753,12.89999962,239.8049927,431.3999939,959.4000244,33.29999924,-1.225880027
2941,8.73,2830,8736.400391,6.199999809,25.61779976,127.6999969,136.6999969,13.10000038,-0.0103017
4516,9.8,4436,9803.400391,6.800000191,471.4949951,161,621.7999878,49.40000153,-0.0112206
3887,15.28,3858,15283.59961,6.5,339.6740112,123,305.7000122,37.79999924,0.000654296
0,14.8,22991,14804.09961,7.900000095,1065.949951,1668.300049,2739.100098,50,0.308697999
28415,12.08,11439,12079.5,7,968.3549805,1541.300049,2496.699951,49.59999847,-0.0447038
6428,14.79,6059,14792.5,17.10000038,651.1539917,144.6999969,466.2999878,50,-0.037181001
